TaxonName,Family,AccNoFull,ItemNo,ItemLocationCode,ItemStatus,ItemStatusDate,Lifeform,Longevity,Group
Ostrya virginiana,Betulaceae,10005370,A,SE1,Seen,1/16/2020,Tree,Perennial,Dicot
Ostrya virginiana,Betulaceae,19940022,A,NE18-4,Seen,4/2/2020,Tree,Perennial,Dicot
Ostrya virginiana,Betulaceae,19940022,B,SE2,Planted,5/19/2021,Tree,Perennial,Dicot
Panicum clandestinum,Poaceae,19670281,A,SW8-34,Inspected,9/18/2019,Herbaceous,Perennial,Grass
Panicum virgatum,Poaceae,10006288,A,SW8-34,Inspected,9/18/2019,Herbaceous,Perennial,Grass
Parthenocissus quinquefolia,Vitaceae,19940499,C,NE12-3,Inspected,9/2/2016,Woody Vine,Perennial,Dicot
Parthenocissus quinquefolia,Vitaceae,20160249,A,NE17,Seen,1/15/2020,Woody Vine,Perennial,Dicot
Passiflora edulis,Passifloraceae,20190286,A,NW26-7,Planted,3/3/2021,Herbaceous,Perennial,Dicot
Pelargonium alchemilloides,Geraniaceae,19840072,A,NW26-6,Inspected,4/11/2018,Herbaceous,Perennial,Dicot
Pinus ponderosa,Pinaceae,10005694,A,SW17,Seen,4/21/2020,Tree,Perennial,Dicot
Pinus ponderosa,Pinaceae,10005999,A,SW17,Seen,4/21/2020,Tree,Perennial,Dicot
Pinus ponderosa,Pinaceae,19641646,A,SW4,Seen,4/9/2020,Tree,Perennial,Dicot
Pinus ponderosa,Pinaceae,19995010,C,SW19,Seen,4/7/2020,Tree,Perennial,Dicot
Pinus sylvestris,Pinaceae,10005661,A,SW18,Seen,4/8/2020,Tree,Perennial,Dicot
Pinus sylvestris,Pinaceae,10005696,A,SW17,Seen,4/21/2020,Tree,Perennial,Dicot
Pinus sylvestris,Pinaceae,10005696,B,SW17,Seen,4/21/2020,Tree,Perennial,Dicot
Pinus sylvestris,Pinaceae,10005843,A,NW18,Seen,3/27/2020,Tree,Perennial,Dicot
Pinus sylvestris,Pinaceae,10006208,A,NW19,Seen,4/1/2020,Tree,Perennial,Dicot
